Designator,Mid X,Mid Y,Rotation,Layer
C1,148.511686,-94.0562,270.0,top
C10,144.207971,-101.473,270.0,top
C11,148.757572,-105.1814,270.0,top
C12,150.728543,-105.1814,270.0,top
C13,150.728543,-97.7646,90.0,top
C14,146.294829,-94.0562,90.0,top
C15,140.164257,-94.0562,90.0,top
C16,137.9474,-97.7646,90.0,top
C17,137.9474,-101.473,270.0,top
C18,137.9474,-105.1814,90.0,top
C19,146.7866,-105.1814,270.0,top
C2,144.207971,-97.7646,90.0,top
C20,150.728543,-94.0562,270.0,top
C21,137.9474,-94.0562,270.0,top
C3,142.251114,-97.7646,270.0,top
C4,153.6954,-95.4024,0.0,top
C5,153.6954,-93.3062,0.0,top
C6,153.6954,-97.4598,0.0,top
C7,153.6954,-99.5172,0.0,top
C8,153.6954,-101.5746,0.0,top
C9,147.4978,-102.0826,180.0,top
CN1,149.733,-87.0522,180.0,top
KEY1,133.3701,-108.5259,270.0,top
KEY2,133.3701,-93.5259,270.0,top
L1,150.728543,-101.473,90.0,top
L2,144.207972,-94.0562,90.0,top
L3,142.251114,-94.0562,90.0,top
L4,140.164257,-101.473,270.0,top
LED1,132.926526,-99.0919,270.0,top
R1,153.6954,-103.632,180.0,top
R2,140.1318,-105.1814,90.0,top
R3,153.6954,-105.9314,0.0,top
R4,142.251114,-101.473,90.0,top
R5,140.164257,-97.7646,90.0,top
U1,165.8874,-98.8822,0.0,top
U2,147.447,-98.6282,0.0,top
U3,143.4694,-105.335157,180.0,top
U4,139.319,-86.8922,0.0,top
U6,133.477,-103.5843,180.0,top
USBC1,149.2758,-111.4714,0.0,top
